State,PctSAT,MathSAT2018
Alabama,6,571
Alaska,43,544
Arizona,29,572
Arkansas,5,576
California,60,536
Colorado,100,506
Connecticut,100,519
Delaware,100,492
DistColumbia,92,480
Florida,97,493
Georgia,70,511
Hawaii,56,549
Idaho,100,493
Illinois,99,506
Indiana,67,539
Iowa,3,631
Kansas,4,631
Kentucky,4,618
Louisiana,4,595
Maine,99,501
Maryland,76,535
Massachusetts,80,563
Michigan,100,499
Minnesota,4,655
Mississippi,3,606
Missouri,4,629
Montana,10,592
Nebraska,3,623
Nevada,23,566
NewHampshire,96,528
NewJersey,82,547
NewMexico,16,540
NewYork,79,534
NorthCarolina,52,543
NorthDakota,2,643
Ohio,18,547
Oklahoma,8,521
Oregon,48,553
Pennsylvania,70,539
RhodeIsland,97,505
SouthCarolina,55,523
SouthDakota,3,618
Tennessee,6,607
Texas,66,512
Utah,4,612
Vermont,64,554
Virginia,68,550
Washington,69,538
WestVirginia,28,486
Wisconsin,3,653
Wyoming,3,625
